random-10-0.00-0,,random-10-0.00-0,,TRUE
random-10-1.30-0,,random-10-1.30-0,,TRUE
random-10-2.50-0,,random-10-2.50-0,,TRUE
random-10-3.80-0,,random-10-3.80-0,,TRUE
random-10-5.00-0,,random-10-5.00-0,,TRUE
random-20-0.00-0,,random-20-0.00-0,,TRUE
random-20-2.60-0,,random-20-2.60-0,,TRUE
random-20-5.00-0,,random-20-5.00-0,,TRUE
random-30-0.00-0,,random-30-0.00-0,,TRUE
random-30-2.60-0,,random-30-2.60-0,,TRUE
random-30-5.00-0,,random-30-5.00-0,,TRUE
random-40-2.00-0,,random-40-2.00-0,,TRUE
random-40-4.60-0,,random-40-4.60-0,,TRUE
random-50-2.00-0,,random-50-2.00-0,,TRUE
random-50-4.60-0,,random-50-4.60-0,,TRUE
random-60-4.00-0,,random-60-4.00-0,,TRUE
random-60-6.60-0,,random-60-6.60-0,,TRUE
random-70-4.00-0,,random-70-4.00-0,,TRUE
random-70-7.12-0,,random-70-7.12-0,,TRUE
random-80-4.00-0,,random-80-4.00-0,,TRUE
random-80-7.12-0,,random-80-7.12-0,,TRUE
random-90-6.00-0,,random-90-6.00-0,,TRUE
random-100-6.00-0,,random-100-6.00-0,,TRUE
random-150-6.00-0,,random-150-6.00-0,,TRUE
random-200-8.00-0,,random-200-8.00-0,,TRUE
